S.No,Group No,Group,Name of Cement Company,Year,Plant Status,Unit,Location,Latitude,Longitude,Zone,State,Line #,Clinker Guaranteed Capacity (TPD),Clinker Present Capacity (i.e. Operating) (TPD),Clinker Potential Capacity (TPD),"Kiln
D x L",Pyro Supplier,Clinker Present Capacity (i.e. Operating) @ 330 Days (MTPA),Cement Production (MTPA) @ 1.36 Factor @ Present Operating Clinker Capacity @ 330 Days,Cement Mill Supplier,Cement Mill Model,Guaranteed Capacity,Guaranteed / Operating Capacity (PPC),Cement Production @ 330 x 21 Hours (MTPA),Cement Production @ 345 x 22 Hours (MTPA)
236,14,J.K. Cement,JK Cement,2008,EXISTING,IU,Gotan,26.644543,73.727891,North,Rajasthan,Line-1,1000,900,1150,2.5 x 37,Promac (Coversion to grey from Fuller KCP),0.30,0.40,KCP,BM 3.5 X 12.5 ( 2 x 1100 Kw),60 TPH OPC, 65 , 0.5 , 0.5 
237,14,J.K. Cement,JK Cement,2012,EXISTING,GU,Jhajjar,28.490345,76.386477,North,Haryana,Line-1,,,,,,,,TKIL,"RP - 20/13-9C
BM- 4.4m Dia x 11 m",260 TPH PPC @ 3800 Blaine, 260 , 1.8 , 2.0 
238,14,J.K. Cement,JK Cement,2004,EXISTING,GU,Panipat,29.39579,76.889129,North,Haryana,Line-1,,,,,,,,TKIL,4.6m Dia x 15.25m L,150 TPH OPC @ 3200 Blaine, 173 , 1.2 , 1.3 
239,7,Chettinad Cement,Chettinad Cement Corporation,2006,EXISTING,IU,Ariyalur,11.057663,79.062979,South,Tamilnadu,Line-1,3800,4200,4800,4.15 x 64,FLS,1.39,1.88,Loesche,LM 56.3 + 3C/S (2006),270 TPH OPC / 305 TPH PPC, 305 , 2.1 , 2.3 
240,7,Chettinad Cement,Chettinad Cement Corporation,2007,EXISTING,IU,Ariyalur,11.05961,79.062879,South,Tamilnadu,Line-2,4000,4200,4500,4.15 x 64,FLS,1.39,1.88,Loesche,LM 56.3 + 3C/S (2006),270 TPH OPC / 305 TPH PPC, 305 , 2.1 , 2.3 
241,7,Chettinad Cement,Chettinad Cement Corporation,2000,EXISTING,IU,Karikali (Palayam),10.712477,78.09299,South,Tamilnadu,Line-1,3200,3500,3800,3.95 x 62,LNT / FLS,1.16,1.57,"FLS (2001)
KHD (2005)","OK-36.4 (3750kW)
RP13-140/140 + BM 3.0 m Ø x 10.0 m - (115 tph PPC @ 3800 cm2/gm)",170TPH -OK/120TPH -RP, 320 , 2.2 , 2.4 
242,7,Chettinad Cement,Chettinad Cement Corporation,2009,EXISTING,IU,Karikali (Palayam),10.713597,78.092808,South,Tamilnadu,Line-2,4000,4200,4700,4.15 x 64,FLS,1.39,1.88,Loesche,LM 56.3 + 3CS,270 TPH OPC / 305 TPH PPC, 305 , 2.1 , 2.3 
243,7,Chettinad Cement,Chettinad Cement Corporation,1986,EXISTING,IU,Puliyur,10.937191,78.152047,South,Tamilnadu,Line-1,2000,2200,2500,4.11 x 58,FLS,0.73,0.99,"FLS (1996)
KHD (2008)","OK-36.4 (3300kW)
RP10-140/110 + BM 3.0 m Ø x 10.0 m - (115 tph OPC @ 3000 cm2/gm)",170TPH -OK/110TPH -RP, 300 , 2.1 , 2.3 
244,7,Chettinad Cement,Chettinad Cement Corporation,2010,EXISTING,IU,Kallur,17.370194,77.446378,South,Karnataka,Line-1,6000,6700,7500,4.75 x 74,FLS,2.21,3.00,FLS (2010),RP - KPP 750/15-1300 (1900kW) + BM - 4.6 x 15 m  (2 x 2500kW),247, 255 , 1.8 , 1.9 
245,7,Chettinad Cement,Anjani Cement,2000,EXISTING,IU,Nalgonda,16.766059,80.014133,South,Telangana,Line-1,900,1000,1000,3 x 45,Promac has upgraded the Pyro in 2000,0.33,0.45,Promac (2000),BM 2.8 x 7.6 m,20 TPH OPC @ 3000 Blaine, 23 , 0.2 , 0.2 
